-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.249,  0.280
-183.791, 80.174, 0.368,  0.313
-183.783, 80.157, 0.505,  0.346
-183.772, 80.138, 0.569,  0.379
-183.759, 80.116, 0.696,  0.412
-183.743, 80.089, 0.848,  0.445
-183.723, 80.057, 1.008,  0.478
-183.699, 80.020, 1.173,  0.511
-183.672, 79.979, 1.337,  0.544
-183.640, 79.933, 1.498,  0.577
-183.605, 79.883, 1.640,  0.610
-183.567, 79.831, 1.749,  0.643
-183.526, 79.778, 1.808,  0.676
-183.483, 79.725, 1.836,  0.709
-183.439, 79.674, 1.841,  0.742
-183.394, 79.624, 1.830,  0.775
-183.348, 79.575, 1.806,  0.808
-183.302, 79.529, 1.774,  0.841
-183.256, 79.485, 1.737,  0.874
-183.209, 79.443, 1.697,  0.907
-183.162, 79.403, 1.655,  0.940
-183.116, 79.365, 1.612,  0.973
-183.070, 79.329, 1.536,  1.006
-183.026, 79.297, 1.474,  1.039
-182.982, 79.265, 1.431,  1.072
-182.938, 79.236, 1.409,  1.105
-182.893, 79.207, 1.411,  1.138
-182.847, 79.178, 1.440,  1.171
-182.800, 79.149, 1.482,  1.204
-182.750, 79.120, 1.537,  1.237
-182.698, 79.091, 1.592,  1.270
-182.645, 79.059, 1.706,  1.303
-182.592, 79.022, 1.819,  1.336
-182.542, 78.981, 1.897,  1.369
-182.494, 78.935, 1.937,  1.402
-182.451, 78.886, 1.941,  1.435
-182.412, 78.835, 1.913,  1.468
-182.377, 78.784, 1.871,  1.501
-182.344, 78.733, 1.824,  1.534
-182.313, 78.682, 1.774,  1.567
-182.284, 78.633, 1.722,  1.600
-182.256, 78.584, 1.668,  1.633
-182.230, 78.538, 1.589,  1.666
-182.206, 78.493, 1.529,  1.699
-182.183, 78.449, 1.484,  1.732
